Indikator,Tipe,preprocessed_text
"hal yang bisa dilakukan ialah memberi solusi yang mungkin dapat membatu terselesaikan nya konflik tersebut meskipun sahabat saya yang salah, namun dengan cara yang tidak menyakiti hatinya",F,solusi batu selesai nya konflik sahabat salah sakit hati
Menegeaskan bahwa ia tetap salah dan menyuruhnya untuk menerima konsekuensinya,T,menegeaskan salah suruh terima konsekuensi
Jika memang dia yang bersalah ya harus terima konsekuensinya meskipun temen kita,T,salah iya terima konsekuensi temen
menegaskan jika memang dia salah dan turut membantu mencau solusi untuk memperbaiki kesalahannya,T,salah bantu mencau solusi baik salah
"Sebagai sahabatnya tentu saya akan mencoba mencari solusi untuk masalah yang dia hadapi, tapi jika kesalahan nya fatal dan tidak bisa di perbaiki maka saya akan melepasnya",T,sahabat coba cari solusi hadap salah nya fatal baik lepas
menegaskan kalau dia salah tetapi juga memberi nasihat dan motivasi ,T,salah nasihat motivasi
"Jikalau ia salah setidaknya dia mengaku salah,tapi kalau sudah egois dan tidak mau mengalah buat apa? Dia saja tidak mementingkan prasaan orang lain,buat apa kita mengerti perasaan dia? woman support woman. Lagi pula teman bukan hanya dia aja di dunia ini",T,salah aku salah egois kalah penting prasaan orang erti asa woman support woman teman dunia
Membantu dan mencari solusi tetapi tidak membenarkan dia,T,bantu cari solusi benar
"Jika sahabat saya terlibat konflik karena dirinya sendiri, ia harus berani menerima konsekuensinya, dan saya akan memberikan solusi sebisa saya. Ia harus belajar dari konflik tersebut agar tidak mengulangi kesalahan yang sama.",T,sahabat libat konflik berani terima konsekuensi solusi bisa ajar konflik ulang salah
"menegaskan bahwa dia memang salah dan jika ada konsekuensi, memang harus dia terima. ",T,salah konsekuensi terima
Iya tetap salah dan menyuruhnya untuk menerima konsekuensinya ,T,iya salah suruh terima konsekuensi
"Ini merupakan masalah yang sulit dan saya masih mencoba untuk memikirkannya. Untuk saat ini, saya hanya sekedar mengingatkan dan mencoba untuk tidak ingin ikut campur dalam masalah apapun",T,sulit coba pikir dar coba campur apa
menyuruh dia minta maaf,T,suruh maaf
"Saya akan membantunya mencari solusi meski ia salah, dan saya akan berusaha mengajaknya menjadi pribadi yang lebih baik.",F,bantu cari solusi salah usaha ajak pribadi
Saya akan membantu mencari solusi dalam hal ini masalah konsekuensi tetap sahabat saya harus menanggung namun perlu juga mencari solusi dalam sebuah konflik ,T,bantu cari solusi konsekuensi sahabat tanggung cari solusi konflik
Menegaskan bahwa ia salah dan menyuruh nya untuk menerima konsekuensinya dan memberikan sumber yang benar atas kesalahannya ,T,salah suruh nya terima konsekuensi sumber salah
Menegaskan ia salah dan harus menerima konsekuensinya,T,salah terima konsekuensi
pastinya iya membantu mencari solusi ,F,pasti iya bantu cari solusi
"Saya akan menegaskan padanya hal tersebut salah, agar dapat dijadikan pembelajaran olehnya ",T,salah jadi ajar
