Indikator,Tipe,preprocessed_text
"mendengarkan lagu,menonton film,dan membaca novel ataupun buku",I,dengar lagu tonton film baca novel buku
"Saya melakukan hobi saya seperti bermain gitar, lalu tidur untuk mengisi energi, bermain bersama teman, dan mengisi waktu luang dengan seperti jogging.",I,hobi main gitar tidur isi energi main teman isi luang jogging
Waktu di rumah sendirian pas semua keluar ada acara atau saya yang keluar sendiri cari angin,I,rumah pas acara cari angin
"rebahan, jalan-jalan",E,rebah jalan jalan
"Bermain game, Belajar melalui bimbel, dan Berolahraga",I,main game ajar bimbel olahraga
"Bermain bersama teman, atau mendengarkan lagu",I,main teman dengar lagu
mencari motivasi untuk work out (olahraga) di internet ,I,cari motivasi work olahraga internet
Bermain dengan teman teman dan mencoba cafe baru,E,main teman teman coba cafe
Biasanya saya mendapatkan energi seperti ketenangan dan kesenangan di taman pada malam hari.,I,energi tenang senang taman malam
tidur…. dan membaca buku serta mendengarkan musik,I,tidur baca buku dengar musik
Menonton film,I,tonton film
"Bermain sesuatu, mencari informasi/sesuatu yang menarik",I,main cari informasi tarik
Bermain voli badminton renang lari-lari,E,main voli badminton renang lari lari
Saya akan jalan jalan sendiri seperti menonton atau mungkin bermain bersama teman teman saya.,I,jalan jalan tonton main teman teman
Cara paling mudah yaitu dengan bermain game sambil meresahkan diri. Hal tersebut sudah cukup untuk mengembalikan energi,I,mudah main game resah kembali energi
Dengan bermain game atau dengan menonton series tv/film,I,main game tonton series tv film
keluar jalan jalan sendiri atau melakukan hobby ,I,jalan jalan hobby
Saya. Sering kali menghabiskan waktu dengan bermain handphone dan apabila mood sedang bagus melakukan olahraga ,I,kali habis main handphone mood bagus olahraga
"Ketenangan, biasanya setelah bertemu dengan banyak orang kebiasaan yang saya lakukan berada di kamar dan melakukan meditasi mengenai hal"" yang saya lakukan selama di luar untuk meredakan amarah dan lain"", lalu beberapa jam untuk menonton film untuk meningkatkan mood agar besoknya dapat kembali beraktifitas",I,tenang temu orang biasa laku kamar meditasi laku reda amarah jam tonton film tingkat mood besok beraktifitas
saya biasanya memilih untuk menggambarkan apa saja yang ada dipikiran saya ,I,pilih gambar pikir
Jika ada waktu senggang saya bisa memilih untuk menonton drama korea atau bahkan hanya jalan-jalan ke mall menyenangkan diri saya,I,senggang pilih tonton drama korea jalan jalan mall senang
lebih sering menghabiskan waktu dengan teman” pergi ke mall dan shopping,E,habis teman pergi mall shopping
tidur untuk mengembalikan mood dan lebih sering membaca buku untuk mencari ketenangan,I,tidur kembali mood baca buku cari tenang
"membaca buku dan mendengarkan lagu di spotify, ketika saya mengerjakan tugas, galau, gabut atau yang lain"" saya pasti mendengarkan lagu",I,baca buku dengar lagu spotify tugas galau gabut dengar lagu
"scroll tiktok, dan main ke rumah teman",E,scroll tiktok main rumah teman
"Bermain game, melihat streaming di YouTube",I,main game streaming youtube
caranya sepertu saya bermain makan bersenang senang ,E,sepertu main makan senang senang
"mendengarkan musik, bersepeda ",I,dengar musik sepeda
"biasanya saya menghabiskan waktu luang saya dengan nongkrong dengan teman atau night riding bersama teman""",E,habis luang nongkrong teman night riding teman
"Keluar kelas dan merasakan angin yang berhembus, bermain game, olahraga, ",I,kelas rasa angin hembus main game olahraga
mendengarkan musik dan membacanya novel,I,dengar musik baca novel
"kesenangan saya adalah melakukan hobi yaitu menggambar, biasanya saya menenangkan diri dengan mendengarkan lagu",I,senang hobi gambar tenang dengar lagu
Saya mengabiskan waktu dengan membaca buku seperti buku sekolah dan juga novel,I,abis baca buku buku sekolah novel
"bangun pagi jogging, pergi ke cafe yang memiliki beautiful view, nonton film dan yaaa sisa sisa waktu untuk beristirahat ",I,bangun pagi jogging pergi cafe milik beautiful view nonton film yaaa sisa sisa istirahat
"belajar dan memasak. karna menurut saya tidak ada waktu untuk bersantai santai. membaca buku, memasak, dan berdagang.",I,ajar masak santa santai baca buku masak dagang
"Mungkin yang saya lakukan untuk menghabiskan waktu untuk kesenangan Mungkin bisa dengan bermain game,latihan bersama teman saat ekstra, gym. Bisa juga saya keluar untuk mencari tempat ketenangan ",E,laku habis senang main game latih teman ekstra gym cari tenang
"saya melakukan me time seperti tidur, makan yang saya sukai dan menonton film.",I,time tidur makan suka tonton film
"biasanya saya hanya melakukan hal hal kecil seperti mendengarkan musik kpop, biasanya juga hanya scroll tiktok",I,dengar musik kpop scroll tiktok
"Cara saya menghabiskan waktu setelah sekolah adalah melatih adik² paskib (ekskul),menghabiskan dijalan (motoran), mendengarkan lagu,dan menaikan mood bisa dengan cara keluar me time ",E,habis sekolah latih adik paskib ekskul habis jalan motor dengar lagu naik mood time
"tidur,kumpul dengan teman teman,dan makan",E,tidur kumpul teman teman makan
"kesenangan, ketenangan atau pun mood  biasanya saya menghabiskan waktu untuk berjalan- jalan, ataupun hanya diam di dalam kamar untuk mendapatkan ketenangan ",I,senang tenang mood habis jalan jalan diam kamar tenang
"Saya menghabiskan waktu untuk mengisi energi saya dengan mencari kesenangan melalui media sosial seperti Instagram, Quora, ataupun Twitter",I,habis isi energi cari senang media sosial instagram quora twitter
"Saya akan jalan jalan / healing untuk merefresh otak supaya lebih plong dan tidak memikir sesuatu yang berat, dan saya mungkin bermain game online seperti mobile legends",I,jalan jalan healing merefresh otak plong pikir berat main game online mobile legends
Menurut saya pribadi melakukan aktivitas apapun asalkan menyenangkan seperti keheningan diluar sambil menghirup udara dan mendengarkan musik  ,I,pribadi aktivitas apa senang hening luar hirup udara dengar musik
melakukan beberapa hobi saya seperti bermain alat musik khususnya piano. ,I,hobi main alat musik piano
Pergi bermain dengan teman,E,pergi main teman
"untuk mengembalikan mood saya kadang tidur, nonton film, dan drakor",I,kembali mood kadang tidur nonton film drakor
berdiam diri,I,diam
saya menghabiskan waktu untuk mendapatkan kesenangan maupun ketenangan dengan berkumpul bersama teman-teman saya mengobrol maupun saling bertukar pikiran untuk kembali mendapatkan mood yang baik ,E,habis senang tenang kumpul teman teman obrol tukar pikir mood
"bersantai, membaca novel",I,santa baca novel
Berolahraga seperti berlari dengan mendengarkan musik,I,olahraga lari dengar musik
"hangout dengan teman, atau hanya mendengarkan musik ",E,hangout teman dengar musik
saya akan meluangkan banyak waktu bersama teman dan pacar saya,E,luang teman pacar
melihat tiktok dan mendengarkan lagu untuk menenangkan diri ,I,tiktok dengar lagu tenang
"dengerin lagu, main gitar, main bass, bermain handphone, tidur",I,dengerin lagu main gitar main bass main handphone tidur
Saya suka berkumpul dengan teman teman namun ada kalanya saya perlu waktu sendiri,E,suka kumpul teman teman kala
"Membaca buku, menulis maupun mengutip puisi, mengikuti latihan bela diri, jogging lari, kulineran",I,baca buku tulis kutip puisi ikut latih bela jogging lari kuliner
"karaokean, mengulik/belajar dance, makan sambil liat netflix, mewarnai",I,karaoke ulik ajar dance makan liat netflix warna
Latihan badminton dan bersepeda,E,latih badminton sepeda
Biasa untuk mengembalikan mood saya membaca buku atau melihat film,I,kembali mood baca buku film
Biasanya dirumah saya menggambar dan menonton hiburan seperti anime dan musik untuk mendapat ketenangan hidup atau sekedar mengembalikan mood. Saya juga biasanya menyendiri ketika merasa mood saya kurang baik agar orang orang disekitar saya tidak turut mendapatkan suasana yang kurang menyenangkan,I,rumah gambar tonton hibur anime musik tenang hidup dar kembali mood sendiri mood orang orang sekitar suasana senang
ke kantin bersama teman teman dan bercanda atau menggibah,E,kantin teman teman canda gibah
"Saya antara bermain game online seperti Valorant atau, saya keluar dengan teman teman saya ke gramedia atau cafe.",E,main game online valorant teman teman gramedia cafe
"baca novel, makan seblak, tidur seharian.",I,baca novel makan seblak tidur hari
"Menonton movie, karaoke, dan memasak",I,tonton movie karaoke masak
