Indikator,Tipe,preprocessed_text
"bagi saya suatu kesalahan merupakan salah satu kesempatan agar kita dapat meningkatkan keterampilan kita, karena kesalahan yang sudah terjadi tidak seharusnya diulang kembali",N,salah salah sempat tingkat terampil salah ulang
"Normalnya saya pasti sedih dan sedikit murung dan tidak mood utk ngapa²in, setelah itu saya melakukan hal2 yang ingin saya lakukan dgn sendiri, kemudian saya akan bangkit lagi utk meningkatkan keterampilan.",S,normal sedih murung mood ngapa laku dgn bangkit tingkat terampil
"ketika mengalami kegagalan itu sendiri, saya merasa sedih. namun setelah beberapa waktu untuk menenangkan diri, saya bisa berfikir jernih dan menganggap kegagalan adalah hal yang normal/sebuah proses yang dilalui orang2.",N,alami gagal sedih tenang pikir jernih anggap gagal normal proses orang
melihatnya sebagai kesempatan untuk belajar untuk meningkatkan keterampilan,N,sempat ajar tingkat terampil
"Kesalahan yang kecil biasanya terabaikan, namun kesalahan besar akan membuat saya berfikir tentang cara memperbaikinya",S,salah abai salah pikir baik
cenderung mencari kesalahannya dimana,S,cenderung cari salah mana
Mungkin saya akan istirahat sejenak dan mengapresiasi kerja keras saya walau hasilnya kurang maksimal tetapi saya akan tetap mencoba dengan cara yang baru dan menganalisis kesalahan di cara yang lama,N,istirahat apresiasi kerja keras hasil maksimal coba analis salah
Menyalahkan hal yang tidak sesuai san setelah masalah selesai saya akan mengingatnya untuk dijadikan pelajaran dan pengalaman,N,salah sesuai san selesai ingat jadi ajar alam
"Jika menurut saya sesuatu yang saya kerjakan itu tidak seperti ekspetasi saya, bisa dibilang itu sebuah kegagalan atau kesalahan. Dan dari kesalahan tersebut saya bisa belajar untuk meningkatkan keterampilan saya.",N,kerja ekspetasi bilang gagal salah salah ajar tingkat terampil
"saya akan melihat dimana dan apa yang membuat saya gagal, dan saya akan menjadikannya sebagai pelajaran dan koreksi",S,mana gagal jadi ajar koreksi
Cenderung mencari kesalahan dan menyalahkan hal yang tidak sesuai ,S,cenderung cari salah salah sesuai
"Ya, saya cenderung suka menyalahkan sesuatu dan saya sedang berhadapan dengan masalah ini ",S,iya cenderung suka salah hadap
Belajar dari kesalahan dan memperbaikinya ,N,ajar salah baik
"Saya lebih melihat sebagai kesempatan untuk belajar untuk meningkatkan keterampilan, karena menurut saya kegagalan bukan bearti kita pecundang itu hanyalah proses untuk menuju kesukses an.",N,sempat ajar tingkat terampil gagal bearti cundang proses sukses
Saat ini saya masih sering menyalahkan hal lain untuk menutupi kesalahan. Namun saya mulai belajar bahwa kesalahan adalah hal yang wajar dan mulai menjadikan sebagai sebuah pembelajaran ,N,salah tutup salah ajar salah wajar jadi ajar
