Indikator,Tipe,preprocessed_text
"hal yang pertama saya lakukan ialah menanyakan teman saya apakah sanggup menerima tugas yang diberikan atau tidak, jika tidak bisa mungkin lebih baik memberikan tugas atau menukar tugas dengan teman lain yang bisa menyelesaikan tugas apapun yang diberikan",F,laku teman sanggup terima tugas tugas tukar tugas teman selesai tugas apa
tidak peduli,T,peduli
Mengambil alih tugasnya,F,ambil alih tugas
Menegurnya karena di juga kan ga dibuat sengaja,F,tegur sengaja
"menegur, jika memang tetap tidak bisa, dengan terpaksa mengambil alih tugas",T,tegur paksa ambil alih tugas
Saya akan mengambil alih tugasnya dan menegurnya dengan membuktikan hasil yang saya kerjakan,T,ambil alih tugas tegur bukti hasil kerja
akan berusaha menegur tapi kalau masih tetap sama akan diambil alih,T,usaha tegur ambil alih
Saya akan membagi rata semua tugas kelompok yang diberikan guru kepada kita agar nilai kelompok ini asli dari hasil kerja keras kita bersama ,F,bagi tugas kelompok guru nilai kelompok asli hasil kerja keras
Mengambil alih tugas,F,ambil alih tugas
Menegurnya dengan baik.,F,tegur
menegurnya,T,tegur
Menegurnya ,T,tegur
Mengambil alih tugasnya karena saya tidak suka drama yang berkepanjangan,F,ambil alih tugas suka drama panjang
menegurnya dan suruh mengerjakan ,T,tegur suruh
"Pertama saya akan menegurnya dan tentunya memberi tahu manakah titik kesalahan yang ia buat, setelah itu saya akan membantunya mengerjakan tugasnya.",F,tegur mana titik salah bantu tugas
Saya akan mendahulukan dengan cara kekeluargaan yaitu menegurnya dengan begitu tidak akan terjadi konflik yang tidak perlu. Namun apabila dirasa tidak ada itikad baik maka akan saya ambil alih tugasnya,F,dahulu keluarga tegur konflik rasa itikad ambil alih tugas
Menegur nya untuk melakukan tanggung jawab yang telah diberikan agar tidak dapat enaknya saja,T,tegur nya tanggung enak
Menegur,T,tegur
mungkin awalnya bisa menegur terlebih dahulu tetapi kalau dia tetap tidak mau kerja saya akan mengambil alih tugas ,F,tegur kerja ambil alih tugas
Saya tidak akan mencantumkan namanya di kelompok kerja dan memberi tahukannya kepada guru pembimbing ,T,cantum nama kelompok kerja tahu guru bimbing
Menegurnya,T,tegur
menegurnya dan memilih untuk mengambil alis tugasnya agar cepat selesai,F,tegur pilih ambil alis tugas cepat selesai
Pertama menegur jika tidak ada tanggapan maka akan saya ambil alih tugasnya dan jika tugas itu mengeluarkan biaya maka akan saya tarik biaya dari dia yang pasif,T,tegur tanggap ambil alih tugas tugas keluar biaya tarik biaya pasif
menegurnya karena itu sudah tanggung jawab mereka,T,tegur tanggung
menegurnya terlebih dahulu tapi jika tidak ada respon perubahan maka akan saya ambil alih tugasnya ,F,tegur respon ubah ambil alih tugas
"menegurnya agar mengerjakan tugasnya, tetapi jika makin lama tidak di dengarkan saya akan mengambil alih tugasnya ",F,tegur tugas dengar ambil alih tugas
menegurnya dan mengajak mengerjakan bersama agar ia tidak lalai,F,tegur ajak lalai
Menegurnya lalu mengambil alih tugas ketika dia tetap lalai dengan tugasnya,F,tegur ambil alih tugas lalai tugas
saya akan menegurnya dan memberi nasihat ,F,tegur nasihat
menegurnya lah,T,tegur
"saya akan menegur dan mengambil alih tugasnya, karena saya tidak suka basa basi karena dapat menghabiskan waktu",F,tegur ambil alih tugas suka basa basi habis
"Saya akan menegur teman saya tersebut dan menyuruhnya untuk mengerjakan tugasnya jika dia tidak bisa, maka saya akan membantunya sampai selesai",F,tegur teman suruh tugas bantu selesai
menegurnya dan mengajarkannya cara untuk melakukan tugasnya,F,tegur ajar tugas
Menegurnya,T,tegur
menegurnya tanpa mengambil alih tugasnya karena dalam suatu kelompok setiap anggota mendapatkan bagiannya masing masing,F,tegur ambil alih tugas kelompok anggota bagi
Menegurnya,T,tegur
"menegurnya dan bila sudah memang tidak bisa maka saya akan mengambil ahli, demi perkejaan tersebut terkumpul sebelum deadline ",F,tegur ambil ahli perkejaan kumpul deadline
Saya akan menegurnya dahulu dan memberi waktu 2 hari jika dalam waktu 2 hari tersebut dia tetap tidak mengumpulkan saya akan mengambil alih tugasnya,F,tegur kumpul ambil alih tugas
menegur dengan baik dan sopan,F,tegur sopan
"Saya tidak akan mengambil alih tugasnya, saya hanya akan mengingatkan bahwasanya ia memiliki kewajiban untuk menyelesaikan tugas bagiannya. Sambil saya bimbing dengan teman teman kelompok yang lain, juga sembari membantu sedikit demi sedikit. Karna saya yakin bila mengerjakan sesuatu yang dikerjakan bersama sama jelas hasilnya akan lebih baik dan cepat selesai. ",T,ambil alih tugas milik wajib selesai tugas bagi bimbing teman teman kelompok sembari bantu hasil cepat selesai
Menegurnya,T,tegur
menegurnya,T,tegur
"mengambil alih tugasnya, bukan bermaksud maruk dalam penugasan. tetapi, hal tersebut saya lakukan agar cepat selesai dan tidak molor ataupun menghabiskan bahan yang ada",F,ambil alih tugas maruk tugas laku cepat selesai molor habis bahan
langkah pertama kita akan menanyakan mengapa dia bersikap pasif apakah ada rasa tida nyaman dengan sesama anggota/kelompok jika memang ada kendala kita bisa mengambil alih tugasnya dengan cara baik²,F,langkah sikap pasif tida nyaman anggota kelompok kendala ambil alih tugas
menegurnya agar tidak lalai dengan tugasnya,T,tegur lalai tugas
saya akan menegur nya atau menasehati teman tersebut ,T,tegur nya nasehat teman
Saya akan mengambil alih tugasnya karena saya sendiri tipe orang yang tidak enakan dan perfeksionis. Sehingga lebih baiknya saya ambil alih saja tugasnya semua daripada menyakiti hatinya dan pekerjaannya tidak sesuai apa yang saya harapkan ,F,ambil alih tugas tipe orang enak perfeksionis baik ambil alih tugas sakit hati kerja sesuai harap
Menegurnya supaya teman saya mau mengerjakan tugas tersebut,T,tegur teman tugas
Menegurnya karena untuk kebaikan kita ,T,tegur baik
