Indikator,Tipe,preprocessed_text
"dari saya sendiri terdapat jadwal, namun saya juga menyesuaikan dengan situasi yang terjadi",P,jadwal sesuai situasi
tergantung situasi,P,gantung situasi
Lebih fleksibel bergantung pada situasi,P,fleksibel gantung situasi
Cuman bilang ke temen² aku pen kesini blalala,P,cuman bilang temen pen kesini blalala
fleksibel bergantung pada situasi,P,fleksibel gantung situasi
"Saya menjalani keseharian saya tanpa jadwal, hanya mengikuti alur yang ada",P,jalan hari jadwal ikut alur
Saya masih memikirkannya ,P,pikir
menyusun jadwal dengan rapi ,J,susun jadwal rapi
saya lebih fleksibel terganrung pada situasi yang sedang saya hadapi.,P,fleksibel terganrung situasi hadap
"Saya akan lebih memilih mengikuti situasi karena, saya lebih sering menemui situasi yang tidak sesuai rencana jadi lebih efektif menyesuaikan dengan situasi",P,pilih ikut situasi temu situasi sesuai rencana efektif sesuai situasi
Lebih fleksibel bergantung pada situasi dan kondisi ,P,fleksibel gantung situasi kondisi
Fleksibel bergantung pada situasi ,J,fleksibel gantung situasi
lebih fleksibel bergantung pada situasi ,P,fleksibel gantung situasi
Saya sendiri bergantung pada situasi ,P,gantung situasi
Bergantung pada situasi,P,gantung situasi
tergantung pada situasi ,P,gantung situasi
Bergantung pada situasi terkadang hari tersebut banyak pr maka saya akan menyelesaikannya sampai tuntas,P,gantung situasi terkadang pr selesai tuntas
fleksibel,P,fleksibel
membuat jadwal karena saya orangnya tidak suka perubahan jadwal mendadak,J,jadwal orang suka ubah jadwal dadak
saya lebih ke fleksibel ,P,fleksibel
tergantung pada situasi dan hari tersebut,P,gantung situasi
Menata waktu dengan baik atau kita membuat schedule yang harus dipenuhi pada hari tersebut,J,tata schedule penuh
tergantung juga biasanya saya membuat jadwal tapi kita ga tau kan situasi seperti apa jadi saya mengikuti situasi,P,gantung jadwal situasi ikut situasi
lebih fleksibel tergantung situasi,P,fleksibel gantung situasi
saya lebih bergantung pada situasi dan fleksibel,P,gantung situasi fleksibel
Saya mengutamakan fleksibel yaitu tergantung situasi lingkungan dan juga mood saya,P,utama fleksibel gantung situasi lingkung mood
fleksibel bergantung pada situasi ,P,fleksibel gantung situasi
Tersusun rapi se,J,susun rapi
lebih fleksibel bergantung pada situasi,P,fleksibel gantung situasi
"Saya lebih cenderung ke arah membuat jadwal, karena jadwal yang rapi bisa membuat saya lebih disiplin",J,cenderung arah jadwal jadwal rapi disiplin
membuat jadwal sesuai situasi,J,jadwal sesuai situasi
Saya akan melakukan kegiatan dengan fleksibel yang bergantung pada situasi,P,giat fleksibel gantung situasi
membuat jadwal,J,jadwal
Lebih terjadwal namun jika situasi tidak memadai ya fleksibel saja,J,jadwal situasi pada iya fleksibel
Saya memilih fleksibel bergantung pada situasi untuk merencanakan kegiatan sehari hari,P,pilih fleksibel gantung situasi rencana giat hari
tersusun rapi,J,susun rapi
tergantung pada situasi,P,gantung situasi
merancang jadwal jika memang jadwal tersebut bertabrakan kita akan menyesuaikan situasi ,J,rancang jadwal jadwal tabrak sesuai situasi
lebih fleksibel bergantung pada situasi,P,fleksibel gantung situasi
lebih fleksibel bergantung pada situasi ,P,fleksibel gantung situasi
Bergantung pada situasi,P,gantung situasi
"Fleksibel bergantung situasi, karena meskipun saya sudah membuat jadwal pasti saya akan mengabaikan atau lalai terhadap hal itu",P,fleksibel gantung situasi jadwal abai lalai
fleksibel bergantung pada situasi ,P,fleksibel gantung situasi
