Indikator,Tipe,preprocessed_text
"sebelum memilih hal tersebut saya melihat terlebih dahulu jadwal pembelajaran yang akan dilakukan pada hari itu, jika terdapat pelajaran yang saya tidak sukai mungkin akan lebih memilih jam pelajaran yang sedang berlangsung. Namun jika pada hari tersebut terdapat jadwal yang saya sukai mungkin lebih memilih jadwal di luar jam pelajaran",P,pilih jadwal ajar ajar suka pilih jam ajar jadwal suka pilih jadwal jam ajar
saat jam pelajaran berlangsung,P,jam ajar
Jadwal di luar jam pelajaran karena saya ga mau ketinggalan materi pelajaran.,J,jadwal jam ajar tinggal materi ajar
Lebih keluar pelajaran,P,ajar
jadwal di luar jam pelajaran ,J,jadwal jam ajar
tentunya diluar pelajaran,J,luar ajar
luar jam pelajaran,J,jam ajar
Saya lebih nyaman di luar jam pelajaran karna pada dasarnya pelajar juga butuh materi dasar akademik untuk mengikuti kegiatan non akademik ,J,nyaman jam ajar dasar ajar butuh materi dasar akademik ikut giat non akademik
Diluar jam pelajaran,J,luar jam ajar
Saya lebih nyaman untuk jadwal di luar jam pelajaran agar tidak tertinggal materi.,J,nyaman jadwal jam ajar tinggal materi
Di luar jam pelajaran agar tidak terdistraksi oleh waktu,J,jam ajar terdistraksi
luar jam pelajaran ,J,jam ajar
"Saya lebih nyaman memilih jadwal diluar jam pelajaran, karena saya tidak ingin tertinggal dengan pelajaran yang sedang berlangsung.",J,nyaman pilih jadwal luar jam ajar tinggal ajar
Saya akan memilih diluar pelajaran agar akademik Saya tidak terganggu dan saya dapat melakukan kedua hal tersebut dengan efektif,J,pilih luar ajar akademik ganggu efektif
Pada saat jam pelajaran berlangsung ,P,jam ajar
Pada saat jam pelajaran berlangsung ,J,jam ajar
kalau saya tergantung kegiatannya apa dulu kalau memang penting dan diharuskan untuk mengikuti mungkin bisa saat jam pelajaran tapi kalau sebaliknya ya diluar jam pelajaran ,P,gantung giat harus ikut jam ajar iya luar jam ajar
Saya lebih suka melakukannya diluar jam pembelajaran ,J,suka laku luar jam ajar
Memilih jadwal di luar jam pelajaran,J,pilih jadwal jam ajar
di luar jam pelajaran,J,jam ajar
Di luar jam pelajaran agar tidak mengganggu aktivitas saat pelajaran berlangsung karena semua ada porsinya,J,jam ajar ganggu aktivitas ajar porsi
diluar jam pelajaran,J,luar jam ajar
"di luar jam pelajaran, saat bersama teman"" saya",J,jam ajar teman
Saya akan memilih di luar jam pelajaran karena di pelajaran tersebut saya akan mendapatkan ilmu baru dan mengetahui tugas apa yang diberikan,J,pilih jam ajar ajar ilmu tugas
diluar jam pelajaran ,J,luar jam ajar
"saat jam pelajaran berlangsung, karena saya tidak menyukai kegiatan akademis",P,jam ajar suka giat akademis
"Saya lebih nyaman memilih pada saat jam pelajaran berlangsung, karena saya terkadang bosan akan pelajaran",P,nyaman pilih jam ajar terkadang bosan ajar
di luar jam pelajaran ,J,jam ajar
Luar jam perlajaran,J,jam perlajaran
diluar jam pelajaran karena itu akan membuat saya lebih konsentrasi ,J,luar jam ajar konsentrasi
Pada saat di luar jam pelajaran,J,jam ajar
diluar jam pelajaran ,J,luar jam ajar
Saya akan lebih nyaman pada saat diluar pelajaran karena akan lebih nyaman,J,nyaman luar ajar nyaman
jam diluar pelajaran,J,jam luar ajar
diluar jam pelajaran. menurut saya sekolah lebih penting. ,J,luar jam ajar sekolah
Saya akan memilih jadwal di luar jam pelajaran ,J,pilih jadwal jam ajar
pada saat jam pelajaran berlangsung,P,jam ajar
"lebih nyaman diluar jam pelajaran, karena saat jam pelajaran terasa sangat sangat membosankan",J,nyaman luar jam ajar jam ajar bosan
sebaiknya dibagii menjadi dua katagori dii luar jam pelajaran dan saat pelajaran agar siswa siswi tida merasakan bosan ,P,bagi katagori dii jam ajar ajar siswa siswi tida rasa bosan
memilih jam diluar jam pelajaran,J,pilih jam luar jam ajar
saya lebih memilih jadwal di luar jam pelajaran ,J,pilih jadwal jam ajar
Saya lebih nyaman untuk memilih jadwal di luar jam pelajaran berlangsung soalnya menurut saya jika kegiatan non akademis dilakukan saat jam pelajaran berlangsung maka akan memotong materi belajar saya dan teman-teman saya yang lain.,J,nyaman pilih jadwal jam ajar giat non akademis jam ajar potong materi ajar teman teman
Lebih nyaman diluat jam mungkin ini membuat saya senang,J,nyaman luat jam senang
"jelas diluar pelajaran, karena jam pelajaran sangat penting ",J,luar ajar jam ajar
Luar jam pelajaran,J,jam ajar
pada saat jam pelajaran berlangsung ,P,jam ajar
pada saat jam pelajaran ,P,jam ajar
