Indikator,Tipe,preprocessed_text
"hanya membagikan hal tersebut kepada orang-orang tertentu(keluarga,sahabat,teman dekat)",I,bagi orang orang keluarga sahabat teman
tidak suka,I,suka
"Biasanya saya akan membagikan hal tersebut kepada orang terdekat saya, saat ini saya punya 1 teman dekat dan biasanya kami saling sharing terkait rencana studi kami untuk memperjuangkan PTN.",I,bagi orang dekat teman sharing kait rencana studi juang ptn
Orang-orang tertentu. Sering,I,orang orang
"Rencana yang tidak terlalu penting sering saya bagikan ke siapa saja yang ingin tau, tapi ada beberapa rencana yang bersifat private dan saya pendam sendiri",I,rencana bagi rencana sifat private pendam
Hanya kepada orang2 tertentu dan jarang,I,orang jarang
Saya suka berbagi informasi atau ilmu kepada siapa saja dengan senang hati,E,suka bagi informasi ilmu senang hati
Orang orang tertentu yang sudah saya percayai. Saya akan lebih terbuka kepada mereka sehingga sering membagikan hal hal tersebut kepada mereka,E,orang orang percaya buka bagi
"Saya tipe orang yang sering bercerita di orang-orang tertentu, jadi bisa dikatan sering sekali saya membagikannya. Jika saya memiliki sebuah rencana biasanya saya membagikan atau memberitahu hanya kepada orang-orang tertentu.",I,tipe orang cerita orang orang dikatan bagi milik rencana bagi memberitahu orang orang
hanya kepada orang-orang tertentu. saya tidak terlalu sering bercerita mengenai rencana saya.,I,orang orang cerita rencana
Orang orang tertentu dan tidak terlalu sering ,I,orang orang
"Kemungkinan besar tidak, dan kalaupun iya hanya kepada orang orang tertentu saja yang benar benar sudah saya percaya",I,iya orang orang percaya
hanya kepada orang tua saja dan teman yang sudah aku anggap dekat,I,orang tua teman anggap
"Menurut saya, saya akan membagikan hal hal tersebut kepada orang-orang tertentu karena saya sendiri juga kurang suka mengumbar tujuan hidup saya ke depan publik. Saya sendiri jika bercerita kepada orang-orang tertentu masih memilah mana yang bisa saya ceritakan dan tidak.",I,bagi orang orang suka umbar tuju hidup publik cerita orang orang mem cerita
Apabila saya memiliki rencana saya akan bercerita namun hanya kepada orang yang berkompeten atau seseorang yang dekat dengan saya agar saya mendapatkan kritik dan saran agar saya dapat melakukan rencana tersebut dengan lancar,I,milik rencana cerita orang kompeten kritik saran rencana lancar
Akan saya bagikan dengan keluarga saja dan saya sangat jarang untuk membahas nya jadi jarang bagis saya untuk membagikan nya,I,bagi keluarga jarang bahas nya jarang bagis bagi nya
Tidak akan membagikan hal tersebut,I,bagi
"hanya orang orang tertentu, tidak terlalu sering karena saya membagikan yang penting penting saja selain itu saya lebih suka untuk menyimpan sendiri ",I,orang orang bagi suka simpan
"Saya sendiri cenderung membagikannya hanya kepada orang² tertentu seperti orang tua,sepupu,& sahabat ",I,cenderung bagi orang orang tua sepupu sahabat
"Tidak, hanya kepada orang tertentu, karena menurut saya tujuan/rencana merupakan hal yang saya lakukan, bukan orang lain yang melakukan biasanya hal"" seperti tujuan atau rencana kebanyakan hanya orang tua saya sendiri. Jika dibilang sering tidak juga melihat kondisinya seperti apa ",I,orang tuju rencana laku orang tuju rencana banyak orang tua bilang kondisi
saya suka membagikan kegiatan random saya di story sosmed ,E,suka bagi giat random story sosmed
"Hanya orang-orang tertentu, karena saya lebih suka menunjukkan hasil daripada proses saya, karena tidak semua orang paham dengan kondisi saya",I,orang orang suka hasil proses orang paham kondisi
kepada orang orang tertentu,I,orang orang
"hampir tidak pernah membagikan kepada publik, paling dibagikan ke teman dekat dan keluarga saja",I,bagi publik bagi teman keluarga
"hanya ke orang yang terdekat saya saja, saya suka berbagi cerita dengan teman saya di saat ngobrol",I,orang dekat suka bagi cerita teman ngobrol
"kepada orang-orang tertentu.
ga seberapa sering",I,orang orang
Hanya kepada orang-orang tertentu karena kita bercerita harus mempercayai orang tersebut,I,orang orang cerita percaya orang
saya jarang sekali membagikan hal hal seperti itu kepada kerabat kalo tidak kepepet,I,jarang bagi kerabat pepet
"saya kurang suka membagikan hal tersebut kepada orang umum, karna menurut saya itu private dan biar orang"" tau hasilnya jgn prosesnya",I,suka bagi orang private biar orang hasil proses
"jika saya memiliki rencana saya lebih baik menyimpannya sendiri atau mungkin hanya kepada orang"" terdekat saja",I,milik rencana simpan orang dekat
"Saya akan membagikannya ke orang lain atau orang tertentu senyaman dan semoodnya saya, tapi saya lebih tidak sering membagikannya",E,bagi orang orang nyaman semoodnya bagi
"hanya kepada orang tertentu, jarang membagikannya ",I,orang jarang bagi
tidak pernah karena itu merupakan privasi bagi saya,I,privasi
"Saya sering membagikan tujuan dan rencana saya ke depannya dengan ibu saya, karena ibu saya selalu punya solusi untuk saya",I,bagi tuju rencana depan solusi
Saya lebih untuk memendam rencana saya tetapi jika saya ragu dengan rencana tersebut saya hanya membagikan ke teman dan orang tua,I,pendam rencana ragu rencana bagi teman orang tua
saya akan membagikan ke publik. membagikan seperlunya saja tidak berlebihan,E,bagi publik bagi
kepada org tertentu. saya membagi / menceritakan secukupnya saja. tidak oversharing karena jaman sekarang tidak ada yang bisa dipercaya kecuali diri sendiri. ,I,orang bagi cerita oversharing jaman percaya kecuali
"Hanya kepada orang orang tertentu, saya tidak terlalu sering untuk membagikannya",I,orang orang bagi
"saya selalu menceritakan kpd sahabat dekat saya.
apapun masalah nya seperti saya sedang bersedih dan senang.",I,cerita kpd sahabat apa nya sedih senang
"hanya orang tertentu saja, karena menurut saya jika ada rencana jangan di beritahu kepada orang"" awam. bisa saja rencana tersebut tidak berjalan dengan lancar",I,orang rencana beritahu orang awam rencana jalan lancar
jika memang hal tersebut sebuah hal mengandung hal positif dan bisa dicontoh saya akan mengeshare untuk kebaikan bersama jika memang hal tersebut negatif atau tidak penting saya kadang² share tetapi cf ,E,kandung positif contoh mengeshare baik negatif kadang share cf
saya membagikan tujuan/rencana kepada orang orang tertentu dan saya tidak sering membagikan tujuan/rencana tersebut,I,bagi tuju rencana orang orang bagi tuju rencana
biasanya saya lebih menyembunyikan proses tujuan atau rencana saya kepada publik atau pun di medsos,I,sembunyi proses tuju rencana publik medsos
Bagi saya sendiri hal-hal tersebut lebih baik dibagikan untuk orang-orang tertentu. Hal ini bertujuan untuk meminimalisir ketidaksukaan orang lain kepada saya. Saya pun sering membagikan hal-hal atau rencana yang saya lakukan kepada orang-orang terdekat saya dengan tujuan untuk memotivasi mereka untuk melakukan suatu hal yang produktif ,I,bagi orang orang tuju meminimalisir ketidaksukaan orang bagi rencana laku orang orang dekat tuju motivasi produktif
"Iya saya suka membagikan hal tersebut seperti upload di WA ataupun Instragam, saya sering membagikannya supaya tujuannya mungkin bermanfaat bagi orang orang juga",E,iya suka bagi upload wa instragam bagi tuju manfaat orang orang
"Pilihan saya pribadi hanya orang tertentu saja seperti keluarga/saudara karena penikiran saya hanya privat, melakukan sharring kehidupan apa yang saya lakukan ke media sosial saya tidak suka melakukan itu karna itu membuat seperti orang bodoh yang meminta minta dengan membuka donasi ",I,pilih pribadi orang keluarga saudara penikiran privat sharring hidup laku media sosial suka orang bodoh buka donasi
"saya lebih suka memikirkan sendiri rencana tersebut, apabila ada seseorang yang menanyakan hal tersebut maka saya jawab dengan syarat orang tersebut tergolong dekat dengan saya.",I,suka pikir rencana syarat orang golong
Di media sosial tapi hanya untuk teman teman terdekat,E,media sosial teman teman dekat
"saya lebih membagikan cerita tersebut kepada teman terdekat saya, tapi kadang-kadang juga pernah di sosmed. hampir setiap hari si tapi sesuai mood aja ",E,bagi cerita teman dekat kadang kadang sosmed si sesuai mood
tidak pernah membagikan ,I,bagi
"saya jarang membagikan tujuan maupun rencana saya kepada orang"" umum/publik saya lebih membagikan tujuan dan rencana saya kepada orang"" tertentu ",I,jarang bagi tuju rencana orang publik bagi tuju rencana orang
Saya hanya membagikan hal tersebut hanya kepada orang tertentu dan saya tidak terlalu sering membagikannya,I,bagi orang bagi
saya akan membaginya ke orang orang terdekat saya ,I,bagi orang orang dekat
"saya sangat sering menunjukkan ke banyak orang tentang goals dan impian saya, baik di sosial media atau secara langsung",E,orang goals impi sosial media langsung
saya akan membagikan nya kepada orang tertentu ,I,bagi nya orang
Saya jarang membagikan rencana saya,I,jarang bagi rencana
Saya cenderung suka membagikan kepada orang-orang tertentu yang saya percayai,I,cenderung suka bagi orang orang percaya
"Hanya kepada orang-orang tertentu, tetapi jarang",I,orang orang jarang
Hanya di bagikan kepada beberapa orang saja dan jarang membagikan ,I,bagi orang jarang bagi
"Tergantung dengan rencana tersebut, apabila saya meiliki rencana penting yang berkaitan dengan akademik dan pribadi saya tidak pernah membagikannya, namun untuk rencana seperti ide cerita atau ide lainnya yang bersifat umum saya seringkali meminta pendapat orang disekitar saya",E,gantung rencana meiliki rencana kait akademik pribadi bagi rencana ide cerita ide sifat seringkali dapat orang sekitar
"Tidak, namun jika di tag melalui instagram saya akan membagikan nya juga seperti rencana cosplay ",I,tag instagram bagi nya rencana cosplay
"Hanya pada orang orang tertentu Dan, saya sering membagikanya hanya jika itu hal penting.",I,orang orang membagikanya
suka share hal-hal random aja di story ig tapi akun yang khusus temen dekat. kalau tujuan/rencana biasanya share di akun private twitter.,E,suka share random story ig akun khusus temen tuju rencana share akun private twitter
Aku akan membagikan kepada orang tertentu saja,I,bagi orang
Saya biasanya suka membagikanya ke sosial media saya atau teman saya dan saya sangat sering ,E,suka membagikanya sosial media teman
