Indikator,Tipe,preprocessed_text
mengajak orang tersebut berbicara hal-hal yang mungkin ingin mereka sampaikan ,S,ajak orang bicara
Saya mengiyakan terlebih dahulu namun setelah itu saya akan research terkait kebenerannya.,S,iya research kait kebenerannya
"cara yang biasanya sering saya lakukan yaitu melihat bahasa tubuh mereka. mungkin mereka terlihat marah, murung, dll. kemudian saya pastikan dengan menanyakan keadaan mereka untuk mendapatkan jawaban yang lebih valid/tepat",S,laku bahasa tubuh marah murung dll pasti valid
menjadi pendengar yang baik,S,dengar
Saya hanya mendengarkan dan memperhatikan gerak gerik dan bahasa tubuh orang tsb,S,dengar perhati gerak gerik bahasa tubuh orang
Berusaha memahami daru berbagai perspektif,N,usaha paham daru perspektif
Tetap mengamati dan tetap mencari kebenaran dari mana informasi yang dia dapat tersebut ,S,amat cari benar informasi
"Dengan mengobrol, saya jadi tahu banyak hal dan mendapat informasi dari orang tersebut. Tentu saya mempercayai tema dekat saya. Berbeda dengan yang hanya sekedar teman, saya akan mencari kebenarannya",S,obrol informasi orang percaya tema beda dar teman cari benar
Biasanya dengan berkomunikasi melalui media sosial.,S,komunikasi media sosial
saya akan memproses supaya tidak salah tangkap,S,proses salah tangkap
Menanyakan lebih lanjut ,S,
Dengan mencoba mengosongkan pikiran saya agar bisa memahaminya secara serius dan teliti,S,coba kosong pikir paham serius teliti
dengarkan secara baik fokus ,S,dengar fokus
"Tentunya saya akan mencari tahu apakah informasi baru tersebut benar, karena jika kita asal percaya bisa saja itu menjadi sebuah fitnah yang akan merugikan orang lain.",N,cari informasi percaya fitnah rugi orang
Saya akan mempertanyakan informasi tersebut dalam pikiran saya sendiri apakah informasi itu valid atau tidak,N,informasi pikir informasi valid
Langsung saya terima namun saya pertanyakan kembali kepadanya mengenai informasi tersebut atau saya bertanya pada seseorang yang lain ,N,langsung terima informasi
Didengar dan dipahami,S,dengar paham
ya dengarkan saja ,S,iya dengar
Saya sendiri langsung mengekspresikannya dengan mimik wajah,S,langsung ekspresi mimik wajah
Dengan melihat matanya ,S,mata
memastikan dahulu apa informasi itu benar atau tidak,S,informasi
Mengetahui sumber tersebut dan menanyakan atau bahkan mencoba menemukan fakta informasi tersebut,N,sumber coba temu fakta informasi
mencari informasi itu benar adanya ,N,cari informasi
mendengarkan dan mengobservasi terlebih dahulu informasi dari orang tersebut ,S,dengar observasi informasi orang
"mendengarkan dengan baik, lalu mencari tau berita tersebut benar adanya atau tidak",N,dengar cari berita
mencari kebenaran informasi tsb terlebih dulu,N,cari benar informasi
Menanyakan informasi tersebut apakah benar atau nggak dan mencari tahu apakah informasi tersebut benar,N,informasi nggak cari informasi
saya mencoba mempercayai tergantung siapa yang menginformasikan,S,coba percaya gantung informasi
semua itu tergantung feeling dan logika saya,S,gantung feeling logika
lebih sering seseorang terdekat saya akan bercerita kepada saya,S,dekat cerita
"Saya akan menangkap sebisa mungkin dengan imajinasi saya, dan jika belum jelas saya akan menanyakan kejelasan informasi tersebut",N,tangkap bisa imajinasi jelas informasi
ragu untuk percaya ,N,ragu percaya
Percaya,S,percaya
saya akan percaya karena mengobrol tentang informasi dan bercerita tentang pengalaman merupakan pelajaran yang penting ,S,percaya obrol informasi cerita alam ajar
"Saya tidak langsung percaya, karena orang tua saya selalu berkata bahwa kita harus melihat dari dua sisi sebelum memutuskan sesuatu ",N,langsung percaya orang tua sisi putus
"tergantung feeling saya, terkadang orang terdekat saya saja tidak saya percaya dan saya biasanya lebih melihat ke bukti keseharian ",N,gantung feeling terkadang orang dekat percaya bukti hari
"Tergantung dari ekspresi yang dia tunjukkan, jika dia seperti gugup dan bingung kemungkinan dia bohong(hanya untuk orang yang tidak terlalu dekat) jika dia sudah dekat dengan saya tetapi tetap menunjukkan ekspresi seperti yang diatas maka saya ragu untuk mempercayai nya",N,gantung ekspresi tunjuk gugup bingung bohong orang ekspresi atas ragu percaya nya
menyaring informasi tersebut,N,nyaring informasi
Dibuktikan dulu kebenarannya,N,bukti benar
Saya menangkap nya dengan cara mendengarkan lalu memahami informasi tersebut. Saya akan bertanya jika saya masih belum paham dengan informasi itu,S,tangkap nya dengar paham informasi paham informasi
"jika saya mendapatkan informasi dari teman dekat saya, saya setengah percaya karna saya tidak lngsg melihat/mendengarkan sendiri informasi tersebut.",S,informasi teman percaya lngsg dengar informasi
