Indikator,Tipe
kalau saya sendiri lebih memilih menunggu teman-teman yang lain ,F
menunggu,F
"Jika ujian saya akan menunggu teman2 yang lain selesai menjawab seluruh pertanyaan, dengan alasan saya bisa mengoreksi ujiannya lebih lama lagi manatau jawaban saya ada yang kurang diteliti. Sedangkan kalau tugas, saya akan mengumpulkan lebih dulu.",F
Mengulang ke soal no 1 smpe selesai selagi ada waktu gunakan untuk mengecek lagi,T
menunggu teman-teman yang lain selesai menjawab seluruh pertanyaan,F
Mengumpulkan lebih dahulu,T
menunggu teman,F
"Sambil menunggu jam habis,saya akan mengoreksi jawaban saya apakah sudah benar atau belum",T
Mengumpulkan lebih dahulu,T
Biasanya saya menunggu ada teman yang mengumpulkan.,F
menunggu teman-teman yang lain,F
Menunggu teman teman yang lain selesai menjawab seluruh pertanyaan ,F
Memikirkan terlebih dahulu jawaban saya sebelum saya benar benar yakin mengumpulkannya jika ujian itu penting bagi saya,T
mengumpulkan terlebih dahulu,T
"saya akan mengecheck jawaban saya terlebih dahulu, dan meyakinkan apakah tidak ada soal yang terlewat jika saya sudah yakin baru saya akan mengumpulkan jawaban tersebut.",T
"Saya akan menunggu teman lain selesai menjawab, hal itu saya lakukan agar tidak membuat teman saya yang lain merasa panik dan tetap fokus dalam ujian",F
Saya akan menunggu teman teman saya mengumpulkan atau menunggu hingga tersisa 5-10 menit baru akan saya kumpulkan ,F
"Tidak mengumpulkan terlebih dahulu, kita bisa mengkoreksi jawaban terlebih dahulu",T
menunggu teman teman terlebih dahulu ,F
Saya sendiri lebih menunggu teman teman yang lain terlebih dahulu ,F
Mengumpulkan terlebih dahulu,T
menunggu,F
Saya akan selalu mengecek lagi dan lagi sampai saya mantap dan srek dengan jawaban tersebut dan menunggu waktu habis,T
mengoreksi ulang dengan benar dan mengumpulkannya,T
menunggu teman yang lain ,F
"saya jarang mengumpulkan terlebih dahulu, tetapi saat saya menunggu teman"", saya gunakan waktunya untuk meneliti jawaban"" saya",F
menunggu teman teman yang lain selesai,F
Menunggu teman teman dan mengoreksi ujian tersebut ,F
tergantung keraguan saya kalau masih ragu saya akan menunggu teman jika sudah yakin saya akan mengumpulkan dahulu ,F
"menunggu teman"" saya dan saya mengoreksi jawaban saya kembali",F
"saya akan mengoreksi jawaban saya dahulu dan akan mengumpulkan saat teman"" sudah mengumpulkan",F
"Saya akan mengumpulkannya ketika teman-teman saya sudah menjawab semua pertanyaan, dan juga mengisi waktu luang dengan cara mengkoreksi ulang",F
"saya akan mengecek ulang ujian saya, dan menunggu teman saya mengumpulkan karena jika teman saya belum maka saya bisa membantu ",F
"Menunggu teman""untuk menyelesaikan bersama""",F
menunggu teman teman selesai sambil mengecek/membaca soal kembali ,F
Saya akan menunggu temen-teman saya lebih dahulu sembari mengecek hasil jawaban ujian saya,F
menunggu teman temen yang lain,F
Saya akan menunggu teman teman saya selesai menjawab dan mengumpulkan bersama teman teman,F
menunggu teman teman ,F
"Jika saya ada di keadaan seperti itu, saya tidak akan mengumpulkan terlebih dahulu. Namun, saya akan terus membaca dan mengoreksi soal hingga jawaban yang telah saya tulis. Sembari menunggu teman teman yang lain selesai. ",F
Saya akan menunggu teman teman yang lain selesai menjawab sambil saya mengoreksi kertas ulangan saya,F
"mengoreksi kembali jawabannya.
lalu mengumpulkan terlebih dahulu.",T
menunggu teman sambil mengoreksi jawaban kembali,F
jika waktu tersisa 30 menit saya akan menunggu sampai waktu tersisa 10 menit karena saya tida tega untuk meninggalkan teman saya ,F
menunggu teman teman selesai menjawab seluruh pertanyaan karena jika suwaktu waktu teman bertanya kita bisa memberi bantuan,F
saya lebih baik menunggu teman terlebih dahulu kecuali waktu ujian telah selesai ,F
Saya akan mengumpulkannya terlebih dahulu karena bagi saya waktu itu berharga.,T
"Saya akan melakukan motivasi untuk teman saya supaya dia lebih cepat untuk mengerjakannya, menunggu teman teman menjawab seluruh pertanyaan ",F
Melihat lagi dan mencocokan semua jawaban yang ada karena masih banyak waktu yang terbuang buang untuk memperbaiki jawaban kita,T
menunggu teman selesai,F
Mengumpulkan lebih dulu,T
menunggu teman-teman yang lain mengumpulkan dahulu,F
menunggu teman teman,F
saya sering menunggu teman teman untuk mengumpulkannya ,F
menunggu teman dan melihat kembali jawaban saya,F
Saya akan menunggu teman yang lain ,F
saya akan meneliti jawaban lalu mengumpulkan jawabannya terlebih dahulu ,T
saya akan mengumpulkan terlebih dahulu,T
menunggu teman teman yang lain,F
"dikoreksi, dikumpulin, trus main game",T
Menunggu teman teman selesai menjawab,F
"Menunggu terlebih dahulu sembari bersantai, ",F
menunggu teman ,F
"Mengecek ulang, dan mengumpulkannya ketika waktu tersisa 5-10 menit",T
Menunggu teman teman yang lain selesai ,F
"Saya biasanya akan mengoreksi kembali jawaban saya lalu menunggu waktu habis baru mengumpulkan, biasanya dalam waktu kosong tersebut saya habiskan untuk mencoret coret kertas karena bosan",F
Menunggu teman teman yang lain selesai menjawab seluruh pertanyaan tersebut,F
Menunggu teman teman saya untuk menyelesaikan tugas mereka,F
mengeceknya kembali dan mengumpulkannya bareng-bareng.,F
Aku akan lakukan pengecekan ulang terhadap ujianku ,T
Saya akan menunggu teman teman yang lain selesai,F
"jika nilai yang mengumpulkan lebih besar saya akan mengumpulkannya terlebih dahulu, akan tetapi jika sama saja saya akan menunggu bersama teman""",F
Menunggu Teman Teman,F
"saya akan mengecek jawaban kembali apabila ada jawaban yang ragu ragu, tetapi apabila saya rasa tidak ada yang perlu diperbaiki maka saya akan kumpulkan terlebih dahulu",T
Merevisi / mengkoreksi ulang hasil ujian tersebut ,T
Dengan kurun waktu sebanyak itu saya akan melakukan pengecekan ulang hasil pengerjaan saya. Karena dengan waktu sebanyak itu sangat cukup bila dimanfaatkan dengan baik. ,T
Menunggu teman² sambil mengoreksi kembali ,F
"Saya akan menunggu teman-teman yang lain selesai menjawab seluruh pertanyaan, kecuali jika ada aturan khusus yang mengharuskan saya untuk mengumpulkan lebih awal",F
melihat-lihat kembali jawabnku dan menunggu temanku,F
Saya akan mengecek kembali apakah jawaban tersebut telah di isi dan sudah benar jika di rasa sudah semua maka saya akan menunggu waktu sekitar 10 menit baru saya mengumpulkan kalau mengumpulkan di waktu 30 menit maka pengawas akan bertanya-tanya apakah soal tersebut di jawab benar atau hanya mengisi secara ngawur,F
"Tergantung keyakinan sih mas, bukan agama lho, tapi apakah saya yakin dengan jawaban saya, kalau yakin ya gas kumpulin, kalau ngga ya jangan dulu",T
Menunggu teman teman yang lain selesai menjawab seluruh pertanyaan.,F
menunggu teman,F
saya akan menunggu teman saya dan menunggu kepastian dari teman saya,F
menunggu teman-teman yang lain,F
mengumpulkan terlebih dahulu,T
Menunggu hingga waktu habis dan pada saat menunggu tersebut saya akan meneliti kembali jawaban saya apakah sudah benar atau tidak,T
"Mengumpulkan terlebih dahulu setelah selesai mengulasnya kembali, karena waktu 30 menit lebih berharga menurut saya daripada hanya sekedar menunggu",T
