Indikator,Tipe
mengajak orang tersebut berbicara hal-hal yang mungkin ingin mereka sampaikan ,S
Saya mengiyakan terlebih dahulu namun setelah itu saya akan research terkait kebenerannya.,S
"cara yang biasanya sering saya lakukan yaitu melihat bahasa tubuh mereka. mungkin mereka terlihat marah, murung, dll. kemudian saya pastikan dengan menanyakan keadaan mereka untuk mendapatkan jawaban yang lebih valid/tepat",S
menjadi pendengar yang baik,S
Saya hanya mendengarkan dan memperhatikan gerak gerik dan bahasa tubuh orang tsb,S
Berusaha memahami daru berbagai perspektif,N
Tetap mengamati dan tetap mencari kebenaran dari mana informasi yang dia dapat tersebut ,S
"Dengan mengobrol, saya jadi tahu banyak hal dan mendapat informasi dari orang tersebut. Tentu saya mempercayai tema dekat saya. Berbeda dengan yang hanya sekedar teman, saya akan mencari kebenarannya",S
Biasanya dengan berkomunikasi melalui media sosial.,S
saya akan memproses supaya tidak salah tangkap,S
Menanyakan lebih lanjut ,S
Dengan mencoba mengosongkan pikiran saya agar bisa memahaminya secara serius dan teliti,S
dengarkan secara baik fokus ,S
"Tentunya saya akan mencari tahu apakah informasi baru tersebut benar, karena jika kita asal percaya bisa saja itu menjadi sebuah fitnah yang akan merugikan orang lain.",N
Saya akan mempertanyakan informasi tersebut dalam pikiran saya sendiri apakah informasi itu valid atau tidak,N
Langsung saya terima namun saya pertanyakan kembali kepadanya mengenai informasi tersebut atau saya bertanya pada seseorang yang lain ,N
Didengar dan dipahami,S
ya dengarkan saja ,S
Saya sendiri langsung mengekspresikannya dengan mimik wajah,S
Dengan melihat matanya ,S
memastikan dahulu apa informasi itu benar atau tidak,S
Mengetahui sumber tersebut dan menanyakan atau bahkan mencoba menemukan fakta informasi tersebut,N
mencari informasi itu benar adanya ,N
mendengarkan dan mengobservasi terlebih dahulu informasi dari orang tersebut ,S
"mendengarkan dengan baik, lalu mencari tau berita tersebut benar adanya atau tidak",N
mencari kebenaran informasi tsb terlebih dulu,N
Menanyakan informasi tersebut apakah benar atau nggak dan mencari tahu apakah informasi tersebut benar,N
saya mencoba mempercayai tergantung siapa yang menginformasikan,S
semua itu tergantung feeling dan logika saya,S
lebih sering seseorang terdekat saya akan bercerita kepada saya,S
"Saya akan menangkap sebisa mungkin dengan imajinasi saya, dan jika belum jelas saya akan menanyakan kejelasan informasi tersebut",N
ragu untuk percaya ,N
Percaya,S
saya akan percaya karena mengobrol tentang informasi dan bercerita tentang pengalaman merupakan pelajaran yang penting ,S
"Saya tidak langsung percaya, karena orang tua saya selalu berkata bahwa kita harus melihat dari dua sisi sebelum memutuskan sesuatu ",N
"tergantung feeling saya, terkadang orang terdekat saya saja tidak saya percaya dan saya biasanya lebih melihat ke bukti keseharian ",N
"Tergantung dari ekspresi yang dia tunjukkan, jika dia seperti gugup dan bingung kemungkinan dia bohong(hanya untuk orang yang tidak terlalu dekat) jika dia sudah dekat dengan saya tetapi tetap menunjukkan ekspresi seperti yang diatas maka saya ragu untuk mempercayai nya",N
menyaring informasi tersebut,N
Dibuktikan dulu kebenarannya,N
Saya menangkap nya dengan cara mendengarkan lalu memahami informasi tersebut. Saya akan bertanya jika saya masih belum paham dengan informasi itu,S
"jika saya mendapatkan informasi dari teman dekat saya, saya setengah percaya karna saya tidak lngsg melihat/mendengarkan sendiri informasi tersebut.",S
terkadang saya bisa langsung mempercayainya tetapi juga terkadang susah untuk mempercayai,S
saya akan mengalisa informasi dan menanyakan kepada orang yang bersangkutan jika memang ada hal nya dengan diri saya ,N
memastikan informasi tersebut apakah benar atau tidak,S
"Untuk saya sendiri saya akan mencari data atau fakta pendukung dari informasi orang lain, meskipun orang terdekat saya.",N
Saya akan menyimpan itu di otak dangan baik baik,S
"Melihat kepastian apakah dia mulai ok buat diajak ngobrol atau tidak, kalau kita semena mena mengajak ngobrol menurutku itu tidak baik",S
"selagi teman dekat saya yang benar benar saya kenal, mungkin menerima informasi tidak logis pun tidak begitu buruk.",S
"tergantung dengan informasi yang diberikan sama orang tersebut, tapi saya juga tidak langsung percaya dengan seseorang tersebut. ",N
penasaran ,N
mancari tau informasi itu dan memastikan informasi baru itu bahwa informasi itu benar,N
mendengkarkan informasi tersebut,S
Dengan mendengarkan apa yang disampaikan,S
berbicara dan saling tukar cerita,S
meringkas dan berpikir dengan cara saya sendiri,S
Dengan langsung menanyakannya,S
menyaring informasi apakah real or fake,N
Mereka memberItahu saya,S
"Saya mendengarkan dengan teliti, perkataan yang disampaikan olehnya,  walau pada kekurangannya saya cenderung mengalihkan tatapan mata darinya",S
mendengarkan dengan baik,S
Mendengarkannya dengan seksama setiap perkataannya,S
Dengan berkomunikasi,S
"Saya biasanya mendengarnya dan menganalisa perkataan orang tersebut, kemudian mencoba mengkaitkannya dengan informasi yang telah saya dapatkan sebelumnya.",S
Sayaa akan menjadi pendengar yang baik,S
Jika ini hal penting ini akan saya ambil secara dalam.,S
"ya cukup tau aja, kecuali informasinya itu penting ya aku catatan di note hp.",S
Aku akan mendengarkan saja ,S
Saya akan menggali informasinya secara detail dan terhindar dari adanya hoax. Seperti saya akan menanyakan informasi tersebut ,S
terkadang saya loading,S
Bercerita Dengannya,S
saya hanya mendengarkan dan mencerna informasi yang baru saya dapat tetapi tidak langsung percaya terhadap hal tersebut dan biasanya saya mencocokan informasi yang baru saya dapat dengan pengetahuan atau informasi lainya yang saya punya,S
Dengan menghargai pendapat seseorang tersebut dan menerima informasi tersebut jika memang berdampak positif untuk saya,S
Biasa saya langsung tanya ke orang tersebut dan untung nya orang tersebut langsung menjelaskan kepada saya. ,S
Mengajukkan beberapa pertanyaan yang tidak menyinggung,S
Saya akan mendengarkan dengan penuh perhatian saat mereka berbicara dan bertanya lebih lanjut jika diperlukan untuk mendapatkan informasi lebih lanjut.,S
membayangkan ,N
Mencari tau informasi tersebut apakah informasi tersebut sudah benar atau tidak dan jangan percaya dengan informasi tersebut ,N
"Yang pasti ngga pakai tangan sih mas, hehe

Becanda mas, saya kalau nangkep info biasanya saya cek berulangkali serta memastikan keabsahannya, takutnya scam, jadi dari diri saya sendiri saya berusaha seteliti mungkin mencerna informasi tersebut",S
Cara menangkapnya dengan cara mendengarkannya dan menganalisis informasi tersebut,S
Dia menceritakannya,S
mendengarkan lalu memahami maksudnya apa,S
saya akan menanyakan nya/ saya akan meminta kejadian yang lebih detail ,S
"jika informasi itu menarik bagi saya, saya akan bersemangat dengan informasi tersebut",S
dengan mendengarkan secara langsung,S
Dengan mengajaknya berinteraksi dan bercerita bersama karena secara psikologi manusia cenderung mudah terbawa suasana jika topik yang mereka bicarakan dapat membuat mereka tertarik dan secara tidak langsung mereka akan memberikan informasi yang baru,S
Menanyakan dan menggunakan seni dalam menarik lawan bicara agar informasi yang diperoleh lebih banyak,S
"Aku lebih suka mendengar daripada berkomentar, jadi mungkin mereka menganggap ku membosankan ",S
dengan cara mendengarkan orang yang memberi informasi tersebut ,S
"dengan mendengarkan apa yang dibicarakannya, dengan menangkap poin poin intinya saja. atau pokok pembicaraan topik tsb.",S
menanggapinya dengan positif ,S
Menanyakannya secara langsung atau menunggu dia sendiri yang memberikannya. Tergantung kondisi,S
Saya suka mengolah informasi tersebut dengan cara mengimajinasi atau membayangkannya,N
Mengajak mereka untuk bercerita tentang keadaanya dan mendengarkan cerita yang mereka bagikan ,S
saya akan mendengarkan orang tersebut berbicara untuk memahami apa yang ia katakan pada saya,S
"mendengarkan dengan seksama, jika informasi itu rahasia maka saya akan menyimpan informasi tersebut untuk diri sendiri ",S
Mendengarkan dengan baik,S
Mendengarkan dan mengingat² Informasi tersebut dan jika ada informasi penting saya tidak akan membocorkannya ,S
dengan cara memahami dan mendengarkan orang berbicara,S
Dengan mencari info akurat apakah info itu benar/tidak agar tidak terjadi kesalahpahaman.,N
biasanya saya langsung diberitahu atau saya yang menanyakan kepada orang tersebut,S
"mendekatkan diri seolah-olah kita akrab, dan mencari informasi dari teman atau sosmed",S
melihat dia berbicara seperti apa dan kelakuannya,S
