Indikator,Tipe
"saya akan mengerjakan PR terlebih dahulu lalu jika terdapat waktu senggang saya akan bertemu dengan teman lama, karena PR merupakan tanggung jawab yang harus diselesaikan di rumah dan jika PR tersebut selesai maka kita akan mendapat waktu senggang dan tidak kepikiran terhadap PR yang harus diselesaikan ",J
menolak karena ada pr yang harus diselesaikan,J
Saya tentunya akan menolak ajakan temen saya. Dengan alasan saya lebih mengutamakan prioritas yang lebih terdesak terlebih dahulu. Sedangkan untuk bertemu dengan temen lama saya bisa dilakukan di besok harinya.,J
Tugas kan penting apalagi skrang saya kelas 12 mau ke jenjang kuliah lebih baik ga ikut dulu karna reuni tidak se penting itu,J
memberi pengertian jika masih ada tugas yang belum selesai dan bernegoisasi untuk bertemu esok hari,J
"Saya akan menolaknya, karena tugas yang diberi sudah mepet deadline dan bermain bisa dilakukan kapanpun",J
"Tidak menerima ajakan, karena sudah terdapat tanggung jawab yang harus diselesaikan sedangkan bertemu teman masih bisa lain kali",J
"Saya akan menolaknya dengan halus,karna saya sudah memiliki tanggung jawab sebagai Pelajar untuk mengerjakan tugas tersebut. lagi pula bermain kan bisa kapan saja",J
Menyempatkan bertemu dan mengerjakan pr sebelum/sesudah bertemu,P
"Dengan menolaknya secara halus, mengajaknya untuk bertemu besok atau lusa. Karena PR tidak bisa di tunda.",J
"saya akan menolak ajakan tsb, karena saya memang ingin fokus dengan pelajaran",J
Menolaknya karena ada tugas yang harus saya selesaikan malam ini,J
"Ini merupakan masalah yang sulit. Mungkin saya akan memikirkannya terlebih dahulu, baru setelah itu saya putuskan dan jikalau terpaksa saya siap menerima konsekuensi yang ada",P
menolaknya dengan halus karena pr lebih penting buat seorang pelajar,J
"Menurut saya, saya akan mengerjakan PR tersebut pada saat itu juga. Karena saya ingin menghargai teman saya yang ingin mengobrol dengan saya, siapa tau ia benar benar membutuhkan sosok untuk dijadikan tempat berkeluh kesah.",J
"Jika hal tersebut mendesak atau penting saya akan ikut dengan teman teman dan menyelesaikan tugas setelah selesai, namun apabila hanya bermain saya akan menolak. Alasan saya melakukan hal tersebut agar dapat menjaga keseimbangan antara kewajiban saya dan hubungan dengan teman saya ",P
Saya akan bermain terlebih dahulu untuk 15-30 menit lalu saya akan menggiring topik mengenai pr yang harus dibawa besok dan mengajak teman saya untuk mengerjakan pr bersama sama,P
Saya akan meminta maaf kepadanya bahwasanya saya memiliki tugas sekolah yang harus diselesaikan. Dan akan menerima ajakannya di lain waktu ,J
"Menyikapi dengan menolaknya. Karena waktu adalah kesempatan berharga yang tidak banyak orang memilikinya. Selagi ada waktu pergunakan sebaik mungkin karena kita tidak tahu dampak di akhirnya bagaimana. Setelah menolaknya mungkin bisa mengatakan bahwa bermain bisa dilakukan saat kita mengerjakan tugas bersama-sama. Karena bermain bukan hanya soal menyenangkan tetapi bermain dengan hal yang positif seperti mengerjakan PR bersama"".",J
"menerima, krna belum tentu besok dia masih dekat dengan saya",P
Menyelesaikan pr tersebut dan mencoba mengajak teman lama untuk bertemu di lain hari,J
mengerjakan terlebih dahulu,J
"menolaknya dan memberi tahu bahwa saya sedang ada tugas, jika dirasa tugas saya sedikit dan mampu diselesaikan dalam waktu singkat maka selesai mengerjakan saya akan memberi tahu dia kita bisa keluar malam ini",J
"saya akan menjawab bahwa saya sibuk dan sedang banyak tugas untuk besoknya, alasannya : bermain masih bisa dilakukan besok hari, kalau tugas telat saya tidak mau karena saya juga butuh nilai, sekolah lebih penting",J
"menyetujuinya tetapi menunggu pr saya selesai tapi kadang ga jadi soalnya capek, atau ngajak mereka ngerjakan pr saya juga gapapa hehe",P
Saya akan berusaha untuk mengerjakan tugas tersebut dengan cepat agar dapat bertemu dengan teman lama jika tidak bisa meminta izin untuk mengganti di lain hari,J
saya akam menemui teman saya dan membawa tugas saya dan saya akan mengerjakan disana karena tugas lebih utama,P
"mungkin saya akan mengiyakan, namun saya menyelesaikan tugas saya terlebih dahulu/perginya cm sebentar ",P
"tergantung pada mood saya. Jika mood saya untuk mengerjakan tugas lagi down, saya akan menerima tawarannya untuk bertemu tetapi saya akan tetap mengerjakan tugas selagi bertemu. Jika mood saya lagi baik saya akan menolak tawarannya dan lebih fokus untuk menyelesaikan tugas di rumah",P
"Saya akan menolaknya terlebih dahulu, karena pr lebih saya utamakan agar nilai saya dapat terjamin baik. Saya akan menerimanya ketika pr sudah selesai lebih cepat atau keesokan harinya",J
saya akan menolaknya dengan menjelaskan alasan saya menolaknya. karena pr merupakan kewajiban yang harus dikerjakan ,J
"Saya akan menolaknya secara halus, selain karena saya harus mengerjakan tugas, saya juga membatasi diri untuk tidak keluar kecuali besoknya adalah hari libur",J
menyelesaikan pr lalu menyusul acara,J
"Saya akan menolak ajakan mereka, karena tugas atau pr yang diberikan itu lebih penting karena terdapat nilainya daripada ajakan bermain",J
tetap mengerjakan pr ,J
Gak datang reuni. karna saya lebih senang melakukan pekerjaan yang penting dibanding hanya sekedar bersenang senang. ,J
