Indikator,Tipe
"hal yang bisa dilakukan ialah memberi solusi yang mungkin dapat membatu terselesaikan nya konflik tersebut meskipun sahabat saya yang salah, namun dengan cara yang tidak menyakiti hatinya",F
Menegeaskan bahwa ia tetap salah dan menyuruhnya untuk menerima konsekuensinya,T
Jika memang dia yang bersalah ya harus terima konsekuensinya meskipun temen kita,T
menegaskan jika memang dia salah dan turut membantu mencau solusi untuk memperbaiki kesalahannya,T
"Sebagai sahabatnya tentu saya akan mencoba mencari solusi untuk masalah yang dia hadapi, tapi jika kesalahan nya fatal dan tidak bisa di perbaiki maka saya akan melepasnya",T
menegaskan kalau dia salah tetapi juga memberi nasihat dan motivasi ,T
"Jikalau ia salah setidaknya dia mengaku salah,tapi kalau sudah egois dan tidak mau mengalah buat apa? Dia saja tidak mementingkan prasaan orang lain,buat apa kita mengerti perasaan dia? woman support woman. Lagi pula teman bukan hanya dia aja di dunia ini",T
Membantu dan mencari solusi tetapi tidak membenarkan dia,T
"Jika sahabat saya terlibat konflik karena dirinya sendiri, ia harus berani menerima konsekuensinya, dan saya akan memberikan solusi sebisa saya. Ia harus belajar dari konflik tersebut agar tidak mengulangi kesalahan yang sama.",T
"menegaskan bahwa dia memang salah dan jika ada konsekuensi, memang harus dia terima. ",T
Iya tetap salah dan menyuruhnya untuk menerima konsekuensinya ,T
"Ini merupakan masalah yang sulit dan saya masih mencoba untuk memikirkannya. Untuk saat ini, saya hanya sekedar mengingatkan dan mencoba untuk tidak ingin ikut campur dalam masalah apapun",T
menyuruh dia minta maaf,T
"Saya akan membantunya mencari solusi meski ia salah, dan saya akan berusaha mengajaknya menjadi pribadi yang lebih baik.",F
Saya akan membantu mencari solusi dalam hal ini masalah konsekuensi tetap sahabat saya harus menanggung namun perlu juga mencari solusi dalam sebuah konflik ,T
Menegaskan bahwa ia salah dan menyuruh nya untuk menerima konsekuensinya dan memberikan sumber yang benar atas kesalahannya ,T
Menegaskan ia salah dan harus menerima konsekuensinya,T
pastinya iya membantu mencari solusi ,F
"Saya akan menegaskan padanya hal tersebut salah, agar dapat dijadikan pembelajaran olehnya ",T
"Menegaskan bahwa ia tetap salah dan menyuruhnya untuk menerima konsekuensinya tetapi saya akan menyuruhnya dahulu bagaimana ia menyelesaikan konfliknya sendirj, dengan saya bantu di sampingnya jika merasa ia butuh bantuan",T
saya akan menegurnya dan menyuruh dia menerima konsekuensinya ,T
Mencari solusi untuk dirinya apabila dia selalu baik ke saya dan selalu ada dengan saya apapun kondisinya maka akan saya akan tetap setia,F
menegaskannya dan harus menerima konsekuensinya bagaimanapun itu,T
membantu mencarikan solusi,F
"saya tetep menegaskan bahwa dia salah, harus minta maaf, dan tetap saya bantu untuk mencari solusi agar masalah itu cepat selesai",T
saya tetap akan berusaha mencari solusi untuk permasalahannya tapi ia tetap menerima konsekuensinya agar bisa dijadikan pembelajaran kedepannya,F
Iya saya akan memberikan solusi untuk menyelesaikan masalah tersebut,F
saya akan membantu teman saya jika dia salah saya akan coba mrmbantu jika jesalahannya terlalu fatal maka saya akan memberitahu atau menasehati teman saya,F
menasehati nya membantu mensri solusi dan menanyakan kronologi kejadian tersebut ,F
saya akan mengingatkannya dan tidak membenarkan kesalahannya dan menyuruhnya untuk menghadapi konsekuensinya. Tetapi jika dia benar saya akan membantunya menemukan solusi untuk masalahnya,T
"Saya akan membantunya mencari solusi jalan damai meskipun dia salah, karena saya harap suatu masalah tidak diperpanjang sampai terjadi perkelahian",F
saya akan menegaskan bahwa ia tetap salah dan menyuruhnya untuk menerima konsekuensi atas perbuatannya ,T
"Berani berbuat, berani tanggung jawab",T
menegaskan bahwa ia tetap salah dan menyuruhnya untuk menerima konsekuensinya ,T
Mencarikan ia solusi untuk membantunya,F
saya akan menyadarkan dia kalau dia itu salah dan seharusnya mengakui kesalahan dan mencari solusi agar cepat selesai,T
Saya akan mencari atau memberikan solusi kepadanya karena kesalahan itu pasti bisa diperbaiki,F
menegaskannya dan harus menerima konsekuensinya,T
Saya akan tetap mengatakan jika ia salah terlebih dahulu. Namun saya akan tetap memberi solusi bagaimana cara memperbaiki atau hanya sekedar memecah masalahnya saja. Jika tidak bisa diperbaiki maka ia harus menerima konsekuensinya. ,F
"Saya akan memberikan solusi untuk membantu nya, jika dia salah saya akan menegurnya dengan halus",F
"menegurnya.
dan memberi nasihat secara baik-baik untuk tidak memgulangi lagi.",F
"saya cenderung menyuruh dia menerima konsekuensi, tetapi kalau sahabat saya meminta solusi. saya akan memberikan solusi, meskipun tidak memuaskan",T
jika memang sahabat kita melakukan kesalahan dan ia memang melakukannya kita akan memberikan sebuah nasihat untuk tidak mengulanginyaa dan akan melakukan konsekuensinya ,F
saya akan mencari solusi meskipun sahabat saya salah tetap harus mendapatkan konsekuensinya,F
"berupaya mencari solusi yang baik
jika tidak ada maka dia harus menerima konsekuensi dari kesalahan yang dia buat ",T
"Kalau saya saya sendiri saya akan berupaya mencari solusi permasalahan yang ia dapati semua, namun juga menegaskan bahwasannya ia harus mengubah sifat buruknya yang mendorong terjadinya suatu konflik.",F
Saya akan mencarikan solusi  untuk membantunya meskipun ia salah atau menegaskan bahwa dia salah karena dia adalah sahabat saya dan saya akan mengajaknya menjadi lebih baik,F
Menurut saya pribadi lebih baik memaafkan daripada tidak memaafkan karena Sifat memaafkan adalah sifatnya para ahli surga dan pahalanya tidak terbatas,F
"benar, saya akan mencari solusi walaupun dia yang salah, saya akan tetap menegurnya dan saya tidak membela meskipun teman dekat saya. ",T
Iya,T
"berusaha mencari solusi, jika teman saya yang salah maka saya berusaha untuk memberikan pengertian kepada dia kalau dia itu salah.",F
membantunya ,F
saya akan membantu mencari solusinya tapi jika memang salah saya hanya dapat melihatnya ,F
saya akan memberi solusi jika keduanya tidak mendapatkan kejelasan,F
"Saya akan mengatakan bahwa dia salah,  dan untuk bersiap menerima konsekuensinya",T
saya akan berupaya mencari solusi untuk membantunyaa,F
saya akan tetap memberi tahu titik kesalahan mereka agar dapat belajar dari kesalahan namun juga masih memberi semangat,F
saya akan berusaha mencari solusi ,F
menasehati+tell her to face the consequence,T
Saya akan mengatakan bahwa ia salah,T
"Memberikan sedikit solusi untuk kesalahannya, dan membiarkan ia sepenuhnya untuk menyelesaikan urusannya sendiri",F
menerima konsuensinya,T
"Mencoba menyadarkannya terlebih dahulu bahwa itu merupakan konsekuensi yang harus diterimanya, dan berusaha mencari solusinya bersama sama",F
Menegaskan bahwa ia tetap salah,T
Saya akan menegaskan atas kesalahannya agar ia dapat mengintropeksi diri dan tidak mengulangi kesalahan tersebut. Hal ini untuk menanamkan sikap tanggung jawab.,T
Yaa saya akannn menenangkan dan menasehati untuk menyadarkan bahwa dia salah ,F
Jika dia memang Salah saya akan menegaskan bahwa is tetapi Salah Dan menerima konsekuensinya.,T
aku bakalan nasehati dia kalau memang dia yang salah dan tidak membenarkan perilakunya serta membantunya untuk menyelesaikan masalahnya.,F
Aku akan membantu dia mencari solusi tetapi tidak membelanya karena dia di posisi yang salah,F
Saya akan menjadi penengah saja ,F
"mencarikannya solusi tetapi jika dia tidak bisa menerima solusi dari saya, saya pernikahan menerima konsekuensi",T
Mencari Solusi,F
saya akan mendampinginya dalam bertanggung jawab menebus kesalahanya serta mencari solusi ,F
Ikut membantu mencari solusi dan menyadarkan bahwa tindakan mereka salah dan harus meneriman konsekuensi yang ada ,F
"Saya prefer menegaskan bahwa dia salah walaupun terkadang di dalam diri saya masih ada keterikatan pertemanan yang mendorong saya untuk membela ia meskipun salah, tetapi pertanggungjawaban seperti minta maaf tetap harus dilakukan. ",T
Menasehatinya dengan baik baik dan memberitahukan ke dia kalau dia bersalah tapi setelah itu baru mencarikan sebuah solusi.,F
"Saya akan mencari solusi untuk membantunya dan mendukungnya, namun juga akan memberikan pandangan jujur tentang kesalahannya dan pentingnya menerima konsekuensinya.",F
memberitahukan kepadanya kalau dia salah dan mencari solusi agar masalah ini bisa selesai,F
Mencari tau kesalahan apa yang di perbuat sampai terlibat konflik jika sudah mencari tau dan jika dia salah dalam hal ini maka sebaiknya menasehati nya dan melakukan pertanggung jawaban kesalahan yang dia buat dan meminta maaf agar tidak mengulangi kesalahan yang sama dan menjadikan sebagai pelajaran kedepannya ,F
"Bantu ngasih solusi sih mas, kesian",F
Menegaskan bahwa ia tetap salah dan membantunya mencari solusi.,T
Tergantung bagaimana moodku,F
menegaskan bahwa ia tetap salah dan harus menerima konsekuensinya karna ia telah berbuat,T
saya akan memberi nya solusi untuk meringankan konsekuensinya dan menyuruh untuk menerima konsekuensinya ,F
saya akan memberi mereka solusi,F
saya akan menyuruh untuk introspeksi diri dan menerima konsekuensinya ,T
"Ya saya akan membantunya, namun jika sahabat saya salah saya akan menyuruhnya untuk menerima konsekuensinya",T
"Saya akan menjelaskan kesalahannya dan memberi solusi kepadanya, serta apa saja konsekuensi yang akan didapatkannya",F
"saya akan mencari solusi untuk masalahnya tetapi ia juga harus menerima konsekuensinya. Jadi ia tahu bahwa ia salah, tetapi ia juga menyelesaikan masalahnya.",F
memberi solusi dan menegaskan konsekuensi yang sudah diperbuat ,T
"tentu saja membantu mencari solusi terbaik, jika memang ada konsekuensinya, maka dia harus menerimanya. bagaimanapun juga, itu tetap kesalahannya.",F
cenderung untuk menegaskan bahwa ia tetap salah dan menyuruhny untuk menerima konsekuensinya ,T
Saya kan senantiasa menasehatinya dan menyuruhnya untuk menyelesaikan masalahnya dengan baik agar tidak terjadi permusuhan diantara mereka,T
"Saya akan berusaha sebaik mungkin untuk menasehatinya, dan mencari solusi untuk dirinya tetapi untuk apakah dia menerima nasehat dari saya, itu adalah pilihannya.",F
Saya akan menegaskan bahwa ia tetap salah dan menyuruhnya menerima konsekuensu serta menasehati agar tidak mengulangi lagi,T
"ya, saya sering memberi solusi setelah saya mendengar terlebih dahulu cerita teman saya yang tertimpa masalah walaupun itu kesalahannya sendiri",F
"saya akan membiarkannya karena tidak ingin mencampuri urusan pertengkaran mereka, biarlah dia menyadari sendiri apa kesalahannya. itu lebih baik daripada harus merasa bersalah karena diberitahu ",F
"jika sahabat saya terlibat konflik
yang terjdi krna kesalahannya. saya akan menasehatinya dan memcari solusi bersama sama",F
Ya,T
Saya akan mencari informasi yang detail mengenai suatu masalah,F
saya akan membantunya mencari solusi dan menegaskan bahwa dia tetap salah,F
Menyuruhnya untuk menerima konsekuensinya atas kesalahan nya sendiri,T
saya menegaskan bahwa ia tetap salah tapi saya turut membantu walaupun sekedar tempat cerita atau memberi saran ,T
membantu untuk menyelesaikan masalah dengan mencari jalan keluar bersama dan menghiburnya ,F
Membantu masalahnya biar cepet selesai dengan semampunya,F
