Indikator,Tipe
"jika bidang yang ditawarkan tidak sesuai dengan bidang yang saya minati dan saya kuasai mungkin saya tidak menerima tawaran tersebut, karena bagaimanapun itu kita harus menguasai bidang tersebut dalam waktu yang tidak singkat meskipun diberi fasilitas mentor",S
menolak,S
Saya akan mengikutinya dan berusaha utk mempelajari lebih dalam.,N
Tetep ga ikut karena belum menguasai dan bukan bidang saya,S
menolak dengan cara halus,S
Saya akan menolak karena saya tidak suka persiapan yang dilakukan secara mendadak apalagi tentang pendidikan,S
akan berusaha apabila di beri fasilitas,N
"Jikalau lomba nya bertenggat waktu yang bisa dipertimbangkan,saya akan belajar menguasai bidang tersebut agar saya dapat pengalaman. soal menang atau kalah itu sudah jadi hasil akhir dan keputusan juri ",N
Tidak ikut karena merasa ada orang yang lebih dapat menguasai daripada saya,S
Saya mungkin akan mencoba belajar di bidang itu perlahan.,N
saya akan sangat mempertimbangkan dan meminta waktu untik berpikir,S
Tidak saya terima ,S
Saya akan jawab tidak jika saya tidak berminat sama sekali,S
menerima dan berusaha belajar sungguh-sungguh ,N
"Saya tetap akan menerimanya, karena tidak ada salahnya mencoba hal baru yang belum pernah kita coba. Terlebih lagu, guru tersebut menyiapkan mentor yang akan mengajarkan kita untuk persiapan lomba tersebut.",N
"Saya akan menerima dengan senang hati dan bersedia ikut dalam lomba tersebut,  disebabkan saya akan mendapat pengalaman yang belum pernah didapatkan dan didampingin oleh seseorang yang lebih mengerti",N
Saya akan menerima lomba tersebut jika menurut saya menarik dan saya punya kepercayaan diri yang lebih namun jika saya tidak tertarik dan pada saat itu saya tidak memiliki kepercayaan diri yang lebih maka akan saya tolak dengan sopan,N
Memberi tahu guru secara baik baik jika saya belum sanggup melakukan hal tersebut,S
saya akan segera menerima tawaran lomba itu karna mencoba hal baru itu sangat menyenangkan dan bisa menambah pengalaman saya ,N
Saya akan bersedia menerima tawaran tersebut meskipun bukan bidangnya. Tapi hal tersebut dapat menambah pengalaman dan pengetahuan kita,N
"Tentunya bersedia, menurut saya hal yang baru merupakan tantangan bagi saya keluar dari zona nyaman, selain belajar hal yang baru akan membuat tingkat produktivitas saya semakin bagus",N
"jika tidak sesuai dengan kemampuan saya akan tolak, jika menurut saya itu sesuai dengan kemampuan saya akan menerima ",S
"Dengan perasaan senang, berpikir bahwa apa yang selama ini saya kuasai ternyata guru memperhatikan saya yang artinya guru peduli terhadap apa yang saya lakukan",N
tidak mau ,S
menerima tawarannya ,N
saya mau tetapi saya akan mencoba meminta bimbingan ke pada guru pembimbing ,N
tidak mau atau tergantung situasi nya,S
Menerimanya karena kesempatan pengalaman itu yang harus diutamakan,N
saya akan mencoba karena itu kesepatan buat saya ,N
"jika saya memang suka dan minat di bidang itu akan saya pertimbangkan, dan jika tidak saya akan menolakmya",S
"saya akan mempelajarinya dahulu, dan jika di bidang itu saya mempunyai bakat saya akan menerima tawaran tersebut ",N
"Saya akan bersedia mengikuti lomba tersebut semampu saya, meskipun saya gagal saya masi mendapatkan ilmu dan dapat mengembangkan lebih baik",N
"menerima tawaran itu, karena guru tersebut sudaa memberikan kepercayaan kepada saya dan saya tidak ingin mengecewakan guru saya",S
Menyiapkan apa yang mau di ikuti lombanya,N
"saya setujui bahkan jika bidang trsbt blm saya kuasai, karena itu termasuk cara untuk mendapatkan pengalaman baru dan keluar dari zona nyaman",S
"Saya akan menerimanya, karena apabila kita hanya berada dalam zona aman kita, kita tidak akan pernah bisa berkembang. Selain itu, mencoba hal baru bisa menjadi pengalaman untuk kita kedepannya ",S
"saya akan berpikir terlebih dahulu dan jika saya merasa bahwa saya mampu, makan saya akan menerima tawaran tersebut",N
Saya akan menyikapinya dengan menolak secara baik baik dan mengungkapkan alasan kenapa saya tidak bisa mengikuti lomba tersebut,S
menerima karna diberikan fasilitas mentor dan saya akan mencobanya terlebih dahulu,S
"Sebagai contoh, saya tidak bisa bernyanyi namun saya diberi tawaran untuk mengikuti lomba bernyanyi dan diberi fasilitas guru pengajar bernyanyi. Jelas saya akan menerima tawaran itu, selain akan memberi pengalaman baru, saya juga akan mendapat pembelajaran baru yang sebelumnya saya tidak bisa melakukannya. ",N
"Cara saya menyikapinya, dengan menerima dan mengikuti apa yang di jelaskan oleh mentor lalu saya mempelajari yang di jelaskan",S
"menerimanya.
apa salahnya mencoba hal hal baru.",S
"saya termasuk orang pemilih dalam suatu hal, saya juga bukan orang yang terlalu suka dengan hal hal yang terkait dengan menghitung. kalau semisal lomba tersebut tentang pelajaran menghitung mungkin saya tidak akan menerima meskipun ada bimbingan mentor. akan tetapi, kalau lomba berkaitan dengan seni ataupun pelajaran diluar menghitung. saya akan bersedia, dan tentunya sangat senang dengan penambahan fasilitas mentor. tetapi kembali lagi, apabila saya sedang ingin ikut lomba. apapun lombanya pasti saya ikuti.",N
